contributors,goal,pledged,type,where,title,percentage,cash,time,project_url
204 pessoas,Meta R$ 26.000,R$ 33.400,Campanha Tudo-ou-nada , São Paulo	 SP,Portal Tellus Inspira,128%,R$ 33.400,14/10/2011,/portal-tellus-inspira?ref=ctrse_explore
194 pessoas,Meta R$ 32.000,R$ 33.351,Campanha Tudo-ou-nada , São Paulo	 SP,NÃO VEJO MOSCOU DA JANELA DO MEU QUARTO,104%,R$ 33.351,11/01/2014,/moscou?ref=ctrse_explore
350 pessoas,Meta R$ 24.000,R$ 33.334,Campanha Tudo-ou-nada , São Paulo	 SP,Labirinto,138%,R$ 33.334,20/05/2017,/labirinto_hq?ref=ctrse_explore
160 pessoas,Meta R$ 28.000,R$ 33.320,Campanha Flexível , São Paulo	 SP,Livro Matéria escura - Manoel Veiga,119%,R$ 33.320,04/08/2019,/livro_materia_escura_manoel_veiga?ref=ctrse_explore
137 pessoas,Meta R$ 29.000,R$ 33.248,Campanha Tudo-ou-nada , Francisco Beltrão	 PR,Overdrive: A Batalha do Rock!,114%,R$ 33.248,17/12/2017,/overdrive?ref=ctrse_explore
295 pessoas,Meta R$ 30.000,R$ 33.155,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,mohandas - segundo álbum,110%,R$ 33.155,31/08/2015,/mohandas?ref=ctrse_explore
395 pessoas,Meta R$ 30.000,R$ 33.135,Campanha Tudo-ou-nada , Florianópolis	 SC,Capa dura	 miolo mole - O livro do Frank vem aí!,110%,R$ 33.135,15/01/2017,/capa_dura_miolo_mole_o_livro_do_frank_vem_ai_125b?ref=ctrse_explore
432 pessoas,Meta R$ 21.500,R$ 33.090,Campanha Tudo-ou-nada , Belo Horizonte	 MG,Você poderia vir comigo?,153%,R$ 33.090,24/09/2016,/vocepoderiavircomigo?ref=ctrse_explore
935 pessoas,Meta R$ 15.000,R$ 33.059,Campanha Tudo-ou-nada , Belo Horizonte	 MG,RYOTIRAS OMNIBUS,220%,R$ 33.059,27/09/2012,/ryotiras-omnibus?ref=ctrse_explore
172 pessoas,Meta R$ 28.500,R$ 33.052,Campanha Tudo-ou-nada , Florianópolis	 SC,Protocolo 43 - Web Série de Suspense/Drama,115%,R$ 33.052,09/06/2015,/protocolo43?ref=ctrse_explore
173 pessoas,Meta R$ 3.815,R$ 33.042,Campanha Tudo-ou-nada , Rio de Janeiro	 RJ,Shadowrun 5ª Edição - Late Pledge,866%,R$ 33.042,17/10/2017,/shadowrun2?ref=ctrse_explore
